index,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
5145,323,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,84,0,0,0,66,18,0,0,0,0,0,0,0,1.351590043,103.9583953,NIL,323 TAMPINES STREET 33 SINGAPORE 520323,520323,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
5146,323,TAH CHING RD,11,1995,Y,Y,N,N,N,N,JW,80,0,0,0,50,30,0,0,0,0,0,0,0,1.336815649,103.7239142,HDB PUBLIC SHELTERS,323 TAH CHING ROAD HDB PUBLIC SHELTERS SINGAPORE 610323,610323,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
5147,323,UBI AVE 1,12,1984,Y,N,N,N,N,N,GL,114,0,0,0,114,0,0,0,0,0,0,0,0,1.328033656,103.9043983,KAMPUNG UBI ESTATE,323 UBI AVENUE 1 KAMPUNG UBI ESTATE SINGAPORE 400323,400323,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
5148,323,WOODLANDS ST 32,13,1985,Y,N,N,N,N,N,WL,60,0,0,0,0,12,48,0,0,0,0,0,0,1.431172749,103.7791132,NIL,323 WOODLANDS STREET 32 SINGAPORE 730323,730323,5,WOODGROVE,WDSZ05,WOODLANDS,WD,NORTH REGION,NR
5149,323,YISHUN CTRL,12,1988,Y,N,N,Y,N,N,YS,88,0,0,0,48,40,0,0,0,0,0,0,0,1.428179153,103.8412715,YISHUN RIVERGREEN,323 YISHUN CENTRAL YISHUN RIVERGREEN SINGAPORE 760323,760323,3,YISHUN EAST,YSSZ03,YISHUN,YS,NORTH REGION,NR
5150,323A,ANG MO KIO AVE 3,5,1999,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.367541521,103.8478092,MULTI STOREY CAR PARK,323A ANG MO KIO AVENUE 3 MULTI STOREY CAR PARK SINGAPORE 561323,561323,4,TOWNSVILLE,AMSZ04,ANG MO KIO,AM,NORTH-EAST REGION,NER
5151,323A,SEMBAWANG CL,1,1998,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,1.445263779,103.8183481,NIL,323A SEMBAWANG CLOSE SINGAPORE 751323,751323,3,SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
5152,323A,SUMANG WALK,22,2018,Y,N,N,N,N,N,PG,126,0,0,0,63,63,0,0,0,0,0,0,0,1.412391371,103.8982337,PUNGGOL BAYVIEW,323A SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 821323,821323,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
5153,323A,SENGKANG EAST WAY,15,2000,Y,N,N,Y,N,N,SK,114,0,0,0,40,74,0,0,0,0,0,0,0,1.392710078,103.8929995,ANCHORVALE GROVE,323A SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 541323,541323,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5154,323B,SENGKANG EAST WAY,15,2000,Y,N,N,Y,N,N,SK,157,0,0,0,72,85,0,0,0,0,0,0,0,1.392095507,103.8925507,ANCHORVALE GROVE,323B SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 542323,542323,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5155,323B,SUMANG WALK,22,2018,Y,N,N,Y,N,N,PG,126,0,0,0,63,63,0,0,0,0,0,0,0,1.412057106,103.8977616,PUNGGOL BAYVIEW,323B SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 822323,822323,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
5156,323C,SENGKANG EAST WAY,15,2000,Y,N,N,N,N,N,SK,112,0,0,0,28,84,0,0,0,0,0,0,0,1.392913337,103.8924033,ANCHORVALE GROVE,323C SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 543323,543323,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5157,323C,SUMANG WALK,22,2018,Y,N,N,N,N,N,PG,90,0,0,0,42,48,0,0,0,0,0,0,0,1.412666703,103.8976014,PUNGGOL BAYVIEW,323C SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 823323,823323,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
5158,323D,SUMANG WALK,22,2018,Y,N,N,N,N,N,PG,90,0,0,0,42,48,0,0,0,0,0,0,0,1.412188117,103.8974557,PUNGGOL BAYVIEW,323D SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 824323,824323,2,PUNGGOL TOWN CENTRE,PGSZ02,PUNGGOL,PG,NORTH-EAST REGION,NER
5159,324,ANG MO KIO AVE 3,12,1978,Y,N,N,N,N,N,AMK,110,0,0,0,110,0,0,0,0,0,0,0,0,1.368333922,103.8468792,ANG MO KIO 31,324 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560324,560324,4,TOWNSVILLE,AMSZ04,ANG MO KIO,AM,NORTH-EAST REGION,NER
5160,324,BT BATOK ST 33,12,1985,Y,Y,N,N,N,N,BB,124,0,0,83,41,0,0,0,0,0,0,0,0,1.362164728,103.7476281,NIL,324 BUKIT BATOK STREET 33 SINGAPORE 650324,650324,2,HONG KAH NORTH,BKSZ02,BUKIT BATOK,BK,WEST REGION,WR
5161,324,CLEMENTI AVE 5,12,1977,Y,Y,N,Y,N,N,CL,132,0,0,0,132,0,0,0,0,0,0,0,0,1.315141595,103.7660562,DBS CLEMENTI AVENUE 5,324 CLEMENTI AVENUE 5 DBS CLEMENTI AVENUE 5 SINGAPORE 120324,120324,4,CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
5162,324,HOUGANG AVE 5,13,1982,Y,N,N,N,N,N,HG,120,0,0,0,120,0,0,0,0,0,0,0,0,1.367504586,103.8974183,NIL,324 HOUGANG AVENUE 5 SINGAPORE 530324,530324,2,KANGKAR,HGSZ02,HOUGANG,HG,NORTH-EAST REGION,NER
5163,324,JURONG EAST ST 31,13,1983,Y,N,N,Y,N,N,JE,96,0,0,0,57,39,0,0,0,0,0,0,0,1.348677354,103.7298689,YWCA JURONG EAST CHILD DEVELOPMENT CENTRE,324 JURONG EAST STREET 31 YWCA JURONG EAST CHILD DEVELOPMENT CENTRE SINGAPORE 600324,600324,1,YUHUA WEST,JESZ01,JURONG EAST,JE,WEST REGION,WR
5164,324,SENGKANG EAST WAY,1,2001,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.393146708,103.8919034,ANCHORVALE GROVE,324 SENGKANG EAST WAY ANCHORVALE GROVE SINGAPORE 540324,540324,4,ANCHORVALE,SESZ04,SENGKANG,SE,NORTH-EAST REGION,NER
5165,324,SERANGOON AVE 3,13,1985,Y,Y,N,N,N,N,SGN,96,0,0,0,96,0,0,0,0,0,0,0,0,1.351250964,103.8688445,NIL,324 SERANGOON AVENUE 3 SINGAPORE 550324,550324,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
